WHO_REGION,region,country,year,percent_incidence,coverage,prev_percent_incidence,prev_coverage
AMR,Central America,Panama,2014,0.0,0.9,0.0,0.92
AMR,South America,Paraguay,2014,0.0,0.89,0.0,0.92
AMR,South America,Peru,2014,0.0,0.89,0.0,0.85
WPR,South-Eastern Asia,Philippines,2014,2.66293613523e-06,0.88,2.60321437532e-06,0.9
EUR,Southern Europe,Portugal,2014,2.88396649215e-07,0.98,0.0,0.98
EMR,Western Asia,Qatar,2014,9.20780637825e-06,0.99,2.76020920482e-05,0.99
WPR,Eastern Asia,Republic of Korea,2014,2.19673126388e-07,0.99,3.41045235438e-07,0.99
EUR,Eastern Europe,Republic of Moldova,2014,0.0,0.9,0.0,0.91
EUR,Eastern Europe,Romania,2014,1.52659713865e-06,0.89,7.32539294418e-06,0.92
EUR,Eastern Europe,Russian Federation,2014,5.01988991939e-07,0.98,1.62519580819e-06,0.98
AMR,Caribbean,Saint Kitts and Nevis,2014,0.0,0.93,0.0,0.99
AMR,Caribbean,Saint Lucia,2014,0.0,0.99,0.0,0.99
AMR,Caribbean,Saint Vincent and the Grenadines,2014,0.0,0.99,0.0,0.99
EMR,Western Asia,Saudi Arabia,2014,7.44660701827e-07,0.98,3.85417063314e-05,0.98
AFR,Western Africa,Senegal,2014,6.88359768166e-06,0.8,3.09400718935e-06,0.84
EUR,Southern Europe,Serbia,2014,2.24900537737e-07,0.86,1.23075408303e-06,0.92
AFR,Eastern Africa,Seychelles,2014,0.0,0.99,0.0,0.97
EUR,Eastern Europe,Slovakia,2014,0.0,0.97,0.0,0.98
EUR,Southern Europe,Slovenia,2014,0.0,0.94,0.0,0.94
EUR,Southern Europe,Spain,2014,1.08085392648e-07,0.96,4.30522680365e-08,0.95
SEAR,Southern Asia,Sri Lanka,2014,4.84989807939e-07,0.99,1.16947893866e-06,0.99
AMR,South America,Suriname,2014,0.0,0.85,0.0,0.93
EUR,Northern Europe,Sweden,2014,0.0,0.98,0.0,0.98
EUR,Western Europe,Switzerland,2014,4.87128838271e-07,0.93,7.39032753932e-07,0.93
EMR,Western Asia,Syrian Arab Republic,2014,2.6634733397e-07,0.54,5.17528964802e-08,0.58
EUR,Central Asia,Tajikistan,2014,0.0,0.98,0.0,0.92
SEAR,South-Eastern Asia,Thailand,2014,2.24433814025e-06,0.99,7.99093629163e-06,0.99
EUR,Southern Europe,TFYR Macedonia,2014,0.0,0.93,0.0,0.96
AMR,Caribbean,Trinidad and Tobago,2014,0.0,0.96,0.0,0.91
EMR,Northern Africa,Tunisia,2014,1.52738282952e-06,0.98,1.36292887965e-06,0.94
EUR,Western Asia,Turkey,2014,3.99877250583e-07,0.94,1.0626624496e-06,0.98
EUR,Central Asia,Turkmenistan,2014,0.0,0.99,0.0,0.99
AMR,NORTHERN AMERICA,United States of America,2014,1.87823625977e-08,0.92,2.8378999137e-08,0.92
AMR,South America,Uruguay,2014,0.0,0.96,0.0,0.96
EUR,Central Asia,Uzbekistan,2014,0.0,0.99,0.0,0.97
AMR,South America,Venezuela (Bolivarian Republic of),2014,0.0,0.89,0.0,0.85
EUR,Southern Europe,Albania,2013,0.0,0.99,3.47141463618e-07,0.98
EUR,Southern Europe,Andorra,2013,0.0,0.95,0.0,0.98
AMR,Caribbean,Antigua and Barbuda,2013,0.0,0.98,0.0,0.98
AMR,South America,Argentina,2013,0.0,0.94,2.37556663203e-08,0.94
EUR,Western Asia,Armenia,2013,1.33681350449e-06,0.97,3.35757502501e-07,0.97
WPR,Australia/New Zealand,Australia,2013,1.11729586897e-06,0.94,1.5276251365e-06,0.94
EUR,Western Asia,Azerbaijan,2013,0.0,0.98,0.0,0.94
AMR,Caribbean,Bahamas,2013,0.0,0.92,0.0,0.91
EMR,Western Asia,Bahrain,2013,1.4821072601e-06,0.99,2.99944510266e-06,0.99
SEAR,Southern Asia,Bangladesh,2013,1.93054873207e-05,0.88,2.09007764461e-05,0.17
AMR,Caribbean,Barbados,2013,0.0,0.87,0.0,0.9
EUR,Eastern Europe,Belarus,2013,1.05293194164e-07,0.99,1.05363419507e-06,0.98
AMR,Central America,Belize,2013,0.0,0.99,0.0,0.96
SEAR,Southern Asia,Bhutan,2013,7.95081098272e-06,0.94,2.68922026059e-06,0.95
AMR,South America,Bolivia (Plurinational State of),2013,0.0,0.95,0.0,0.96
AMR,South America,Brazil,2013,0.0,0.99,0.0,0.99
EUR,Eastern Europe,Bulgaria,2013,1.37882727982e-06,0.95,2.46449079513e-06,0.94
AFR,Western Africa,Cabo Verde,2013,5.91412687774e-06,0.89,3.59374688043e-05,0.94
AMR,NORTHERN AMERICA,Canada,2013,5.67688155272e-08,0.9,5.73589364506e-08,0.98
AMR,South America,Chile,2013,0.0,0.9,0.0,0.9
WPR,Eastern Asia,China,2013,1.29026172541e-05,0.96,2.96269637243e-05,0.95
AMR,South America,Colombia,2013,0.0,0.92,2.13305939163e-08,0.94
AMR,Central America,Costa Rica,2013,0.0,0.91,0.0,0.9
EUR,Southern Europe,Croatia,2013,2.34109797495e-07,0.94,2.33262266096e-07,0.95
EUR,Western Asia,Cyprus,2013,0.000195331318705,0.86,0.0,0.86
EUR,Eastern Europe,Czech Republic,2013,0.0,0.99,5.68981409481e-07,0.98
EUR,Northern Europe,Denmark,2013,0.0,0.89,0.0,0.9
AMR,Caribbean,Dominica,2013,0.0,0.93,0.0,0.99
AMR,Caribbean,Dominican Republic,2013,0.0,0.83,0.0,0.88
AMR,South America,Ecuador,2013,0.0,0.97,0.0,0.96
EMR,Northern Africa,Egypt,2013,3.88066232862e-07,0.96,4.08587815444e-07,0.93
AMR,Central America,El Salvador,2013,0.0,0.94,0.0,0.93
EUR,Northern Europe,Estonia,2013,1.51509412522e-06,0.94,0.0,0.94
EUR,Western Asia,Georgia,2013,5.48652494777e-05,0.97,1.81206691601e-05,0.93
EUR,Southern Europe,Greece,2013,0.0,0.99,0.0,0.99
AMR,Caribbean,Grenada,2013,0.0,0.94,0.0,0.94
AMR,Central America,Guatemala,2013,0.0,0.85,0.0,0.93
AMR,South America,Guyana,2013,0.0,0.99,0.0,0.99
AMR,Caribbean,Haiti,2013,0.0,0.65,0.0,0.65
AMR,Central America,Honduras,2013,0.0,0.89,0.0,0.93
EUR,Eastern Europe,Hungary,2013,0.0,0.99,7.02929105583e-07,0.99
EUR,Northern Europe,Iceland,2013,0.0,0.91,6.18410067716e-06,0.9
EMR,Southern Asia,Iran (Islamic Republic of),2013,4.14763238238e-07,0.98,3.93923183404e-07,0.98
EMR,Western Asia,Iraq,2013,8.79575294137e-07,0.57,6.67523929216e-07,0.68
EUR,Northern Europe,Ireland,2013,0.0,0.92,2.14230473428e-06,0.92
EUR,Western Asia,Israel,2013,1.27912896434e-07,0.96,1.29962791653e-07,0.96
AMR,Caribbean,Jamaica,2013,0.0,0.94,0.0,0.93
WPR,Eastern Asia,Japan,2013,0.000113076383219,0.95,1.8507183666e-05,0.96
EMR,Western Asia,Jordan,2013,1.38603404377e-07,0.98,0.0,0.96
EUR,Central Asia,Kazakhstan,2013,2.10531856101e-06,0.99,7.72822335279e-07,0.96
WPR,Micronesia,Kiribati,2013,0.0,0.91,0.0,0.91
EMR,Western Asia,Kuwait,2013,1.11306206156e-06,0.99,3.80163645828e-06,0.99
EUR,Central Asia,Kyrgyzstan,2013,2.08851837026e-06,0.99,1.06227968762e-06,0.98
